service_id,service_category,service_name,service_system_status,service_priority,service_status_description,service_incident_number,service_status,,
1,Human Resources,HR Critical Service 1,Green,2,The service is functioning normally,INC846231,Resolved,,
2,Human Resources,HR Critical Service 2,Red,1,The service is currently experiencing issues,INC722341,In progress,,
3,Human Resources,HR Critical Service 3,Green,3,Workflows and Automations are functioning normally,INC931847,Resolved,,
4,Human Resources,HR Critical Service 4,Red,2,The service is currently unavailable,INC583729,In progress,,
5,Human Resources,HR Critical Service 5,Green,1,The service is functioning normally,INC215849,Resolved,,
6,Finance,Finance Critical Service 1,Green,2,The service is functioning normally,INC826314,Resolved,,
7,Finance,Finance Critical Service 2,Red,3,The service is currently experiencing issues,INC974728,In progress,,
8,Finance,Finance Critical Service 3,Green,1,Workflows and Automations are functioning normally,INC642839,Resolved,,
9,Finance,Finance Critical Service 4,Red,2,The service is currently unavailable,INC475931,In progress,,
10,Finance,Finance Critical Service 5,Green,3,The service is functioning normally,INC372819,Resolved,,
11,Dev,Dev Critical Service 1,Green,3,Workflows and Automations are functioning normally,INC736273,Resolved,,
12,Dev,Dev Critical Service 2,Red,1,The service is currently experiencing issues,INC729374,In progress,,
13,Dev,Dev Critical Service 3,Green,2,The service is functioning normally,INC836272,Resolved,,
14,Dev,Dev Critical Service 4,Red,3,The service is currently unavailable,INC625183,In progress,,
15,Dev,Dev Critical Service 5,Green,1,Workflows and Automations are functioning normally,INC941726,Resolved,,
16,Research,Research Critical Service 1,Green,1,The service is functioning normally,INC526931,Resolved,,
17,Research,Research Critical Service 2,Red,2,The service is currently experiencing issues,INC624817,In progress,,
18,Research,Research Critical Service 3,Green,3,Workflows and Automations are functioning normally,INC284729,Resolved,,
19,Research,Research Critical Service 4,Red,1,The service is currently unavailable,INC359182,In progress,,
20,Research,Research Critical Service 5,Green,2,The service is functioning normally,INC839261,Resolved,,
21,Operation,Operation Critical Service 1,Green,2,Workflows and Automations are functioning normally,INC924637,Resolved,,
22,Operation,Operation Critical Service 2,Red,1,The service is currently experiencing issues,INC727364,In progress,,
23,Operation,Operation Critical Service 3,Green,3,The service is functioning normally,INC642837,Resolved,,
24,Operation,Operation Critical Service 4,Red,2,The service is currently unavailable,INC492819,In progress,,
25,Operation,Operation Critical Service 5,Green,1,Workflows and Automations are functioning normally,INC753927,Resolved,,
